asset_id,event_idx_clean,true_state,reader_state,timestamp,rssi,phase,is_duplicate,is_false_read,is_delayed,sensor_corrupted,event_idx_obs,diag_class,operational_anomaly,sensing_anomaly,op_type,delta_t,phase_sin,phase_cos
2,4,5,5,4.970308319560265,-62.76940424712062,4.216394516590487,0,0,0,0,3,1,0,1,none,0.8424953772310841,-0.8794958730096626,-0.4759065132554622
2,5,6,6,6.01526308611325,-62.34147700102497,5.052935989444294,0,0,0,0,4,1,0,1,none,1.0449547665529852,-0.9425721040317726,0.33400273756530396
2,6,7,7,6.640946212125681,-64.23166824791709,0.1519783770682679,0,0,0,0,5,1,0,1,none,0.6256831260124311,0.15139400077536938,0.9884734981420733
3,1,1,1,1.7769600419047813,-45.87858635889154,1.5158655763743059,0,0,0,0,0,2,1,0,mandatory_skip,0.0,0.9984916856503937,0.05490313002949219
3,0,0,0,2.2775887319592427,-41.742937403435704,0.09316192007050628,0,0,1,1,1,2,1,0,mandatory_skip,0.5006286900544614,0.09302721759570565,0.9956635660635581
3,2,3,3,3.2600013559121055,-56.24332548514983,2.7154668612512673,0,0,0,0,2,2,1,0,mandatory_skip,0.9824126239528628,0.4133461606630525,-0.9105739681459788
3,3,4,4,3.8232420687740745,-59.598240346149524,3.1341641270989915,0,0,0,0,3,2,1,0,mandatory_skip,0.563240712861969,0.007428458169586809,-0.9999724086239693
3,4,5,5,4.534110682612098,-61.49707196851856,4.134874293549903,0,0,0,0,4,2,1,0,mandatory_skip,0.7108686138380231,-0.8378220762958143,-0.545943374784758
3,5,6,6,5.826448334722583,-71.78264237816188,5.297380668791104,0,0,0,0,5,2,1,0,mandatory_skip,1.2923376521104855,-0.8337166755150844,0.5521924528351283
3,6,7,7,6.6996686045258205,-68.00592898334797,5.652586351907285,0,0,0,0,6,2,1,0,mandatory_skip,0.8732202698032374,-0.5896286245725232,0.8076744920354453
4,0,0,0,0.6804704877272182,-39.91957754007921,0.3104846616778689,0,0,0,0,0,0,0,0,none,0.0,0.30552016018257566,0.9521856078107951
4,1,1,1,1.7476375895703913,-47.571469469042185,1.0548094792660239,0,0,0,0,1,0,0,0,none,1.067167101843173,0.8698062418032012,0.4933934552871481
4,2,2,2,3.0754867080403807,-51.008124905034315,1.8813413199475482,0,0,0,0,2,0,0,0,none,1.3278491184699894,0.9521671735960427,-0.30557760638849746
4,3,3,3,4.090481516154132,-50.53868292864099,2.273323161574525,0,0,0,0,3,0,0,0,none,1.0149948081137516,0.763211915642131,-0.6461482583911131
4,4,5,5,5.183145125123065,-64.3619984578746,4.580032920331689,0,0,0,0,4,0,0,0,none,1.092663608968933,-0.9912537160842579,-0.1319699600255657
4,5,6,6,6.736690057408054,-62.96860284630974,4.982259906083026,0,0,0,0,5,0,0,0,none,1.5535449322849884,-0.9638053165114212,0.2666070364118683
4,6,7,7,7.46905582145721,-68.334897210424,5.558925285851095,0,0,0,0,6,0,0,0,none,0.7323657640491561,-0.6625813875499957,0.748989923077956
5,3,4,4,4.925994672585517,-54.87715512076386,3.0671548662979347,0,0,0,0,0,1,0,1,none,0.0,0.07436906323430968,-0.9972307869463574
5,4,5,5,5.754676270226913,-61.76484576061156,3.9256582855642117,0,0,0,0,1,1,0,1,none,0.8286815976413955,-0.7061639116765788,-0.7080483951296218
5,4,5,5,5.895734115099517,-61.76484576061156,3.9256582855642117,1,0,0,1,2,1,0,1,none,0.14105784487260387,-0.7061639116765788,-0.7080483951296218
5,5,6,6,6.940518437943674,-70.63062037448171,5.581217271671725,0,0,0,0,3,1,0,1,none,1.0447843228441576,-0.6457216752686091,0.7635728636405964
5,6,7,7,7.960892615231703,-71.52897943682402,0.12769570352730586,0,0,0,0,4,1,0,1,none,1.020374177288029,0.1273489479031796,0.9918579764603163
5,6,7,7,8.089967330318412,-71.52897943682402,0.12769570352730586,1,0,0,1,5,1,0,1,none,0.1290747150867091,0.1273489479031796,0.9918579764603163
6,1,1,1,3.37620231874207,-45.28213754811265,0.8292469918196428,0,0,1,1,0,1,0,1,none,0.0,0.7374229749785297,0.6754312370432795
6,2,3,3,3.6486481159852695,-67.3193597464098,2.371008009562146,0,0,0,0,1,1,0,1,none,0.2724457972431993,0.6965548418163023,-0.7175035556303996
6,4,5,5,5.330442525734301,-66.34621960417472,3.5486147408543554,0,0,0,0,2,1,0,1,none,1.6817944097490316,-0.3958764588174474,-0.9183037783621267
6,3,4,4,6.191933422558813,-52.228152302190125,3.2521806982552977,0,0,1,1,3,1,0,1,none,0.8614908968245123,-0.1103627724041609,-0.9938913715629427
6,6,7,7,9.944220677228174,-69.80665128458534,5.376187600785103,0,0,1,1,4,1,0,1,none,3.75228725466936,-0.7876575393203782,0.6161133018786129
6,6,7,7,9.96706161804356,-69.80665128458534,5.376187600785103,1,0,1,1,5,1,0,1,none,0.0228409408153869,-0.7876575393203782,0.6161133018786129
7,0,0,0,0.8326021870338787,-44.365569841779106,0.15229890143600763,0,0,0,0,0,0,0,0,none,0.0,0.15171082283616674,0.988424921900684
7,1,1,1,1.9289948139798376,-45.05452130065805,1.0680931356134804,0,0,0,0,1,0,0,0,none,1.096392626945959,0.8762833782282382,0.481796057519057
7,2,2,2,2.8374768884558628,-49.3886575564384,1.7012574840486974,0,0,0,0,2,0,0,0,none,0.9084820744760251,0.9915020065559423,-0.1300913947789785
7,3,3,3,3.7488374365947794,-53.51374996713246,2.742352903356818,0,0,0,0,3,0,0,0,none,0.9113605481389166,0.38871799343205327,-0.921356783001112
7,4,4,4,4.7127848768094065,-60.92292422177526,3.668743490203664,0,0,0,0,4,0,0,0,none,0.9639474402146271,-0.5030730143254796,-0.8642439136363506
7,5,5,6,6.501601949477861,-64.13087293230468,4.359785158620522,0,1,0,1,5,0,0,0,none,1.7888170726684542,-0.9384766846633494,-0.3453426014022715
7,6,6,6,7.853280571947673,-65.15029117251831,5.152064640850079,0,0,0,0,6,0,0,0,none,1.3516786224698123,-0.9048897646372251,0.4256459959341651
7,7,7,7,8.846065131709214,-65.63505425792394,5.761609664387504,0,0,0,0,7,0,0,0,none,0.9927845597615406,-0.49824689352358065,0.8670351971483635
8,0,0,0,0.9761800984322067,-43.17560831607034,6.257192658056332,0,0,0,0,0,0,0,0,none,0.0,-0.025989722372685122,0.999662210114492
8,1,1,1,2.181965674735343,-47.372048746395194,1.1441494016987193,0,0,0,0,1,0,0,0,none,1.2057855763031364,0.910358436284617,0.4138206344364995
8,2,2,2,3.7598775031523655,-50.15024448420183,1.8037681591169654,0,0,0,0,2,0,0,0,none,1.5779118284170224,0.9729845854253883,-0.2308700858157788
8,3,3,3,5.2134431638131025,-57.62914352028251,2.495443646739988,0,0,0,0,3,0,0,0,none,1.453565660660737,0.6021162125618275,-0.7984084584786162
8,4,4,4,6.096902513051413,-56.85207374534214,3.4125815787409683,0,0,0,0,4,0,0,0,none,0.8834593492383105,-0.2676844033848124,-0.9635066477116372
8,6,6,2,7.9402313997567076,-66.79178012023958,5.034307676084664,0,1,0,1,5,0,0,0,none,1.8433288867052946,-0.9486301136916877,0.3163872743921534
8,7,7,7,8.585291014685934,-74.99958531049336,5.947411792592771,0,0,0,0,6,0,0,0,none,0.6450596149292265,-0.32949958659612394,0.9441557193773618
9,0,0,0,0.9210342112579655,-42.4839427424562,0.050879520238621856,0,0,0,0,0,2,1,0,reverse,0.0,0.05085757089393512,0.998705916415222
9,1,1,1,2.670382004003213,-46.85821770095171,0.8582013891367487,0,0,0,0,1,2,1,0,reverse,1.7493477927452474,0.7566678565997388,0.6537994759777321
9,1,1,1,2.752430111899502,-46.85821770095171,0.8582013891367487,1,0,0,1,2,2,1,0,reverse,0.08204810789628914,0.7566678565997388,0.6537994759777321
9,2,2,2,3.738529187308915,-47.78247168942913,1.6276172039357286,0,0,0,0,3,2,1,0,reverse,0.9860990754094128,0.998386128244398,-0.05679030664788258
9,3,3,3,4.810747952940235,-49.00850151880002,2.9338811567577765,0,0,0,0,4,2,1,0,reverse,1.0722187656313205,0.2062211290753301,-0.9785054143554321
9,4,2,2,5.50933228260462,-51.46984478044505,1.579371650854206,0,0,0,0,5,2,1,0,reverse,0.698584329664385,0.9999632321339538,-0.008575218960262934
9,5,4,4,6.764825328353533,-53.769484968171575,3.2818130379244432,0,0,0,0,6,2,1,0,reverse,1.2554930457489126,-0.1397613393472025,-0.9901852190493837
9,6,5,5,7.920073181951844,-67.18306553546354,3.9690063169354293,0,0,0,0,7,2,1,0,reverse,1.1552478535983113,-0.7361834490797303,-0.67678203972998
9,7,6,7,8.758922227813686,-64.18118196958915,4.808902917549316,0,1,0,1,8,2,1,0,reverse,0.8388490458618421,-0.995346144181975,0.09636417001186233
9,8,7,7,9.997073571164082,-68.52060354398479,5.556869707837627,0,0,0,0,9,2,1,0,reverse,1.2381513433503955,-0.6641195938484158,0.7476263539139155
10,0,0,0,0.6202810355594682,-44.23006208935293,0.45993500440722224,0,0,0,0,0,0,0,0,none,0.0,0.4438898665646109,0.8960813503032256
10,0,0,0,0.6647303611701596,-44.23006208935293,0.45993500440722224,1,0,0,1,1,0,0,0,none,0.04444932561069137,0.4438898665646109,0.8960813503032256
10,2,2,2,2.563373583401805,-51.78806503176212,1.9164160150427594,0,0,0,0,2,0,0,0,none,1.8986432222316454,0.9408656954207247,-0.3387797856727523
10,4,4,4,4.951904700413161,-61.03159121139875,3.480041721117818,0,0,0,0,3,0,0,0,none,2.388531117011356,-0.3320245428196801,-0.9432707474343633
10,4,4,4,4.977594552352979,-61.03159121139875,3.480041721117818,1,0,0,1,4,0,0,0,none,0.025689851939818098,-0.3320245428196801,-0.9432707474343633
10,5,5,5,6.208866127707596,-62.833697854293945,4.240785226671276,0,0,0,0,5,0,0,0,none,1.2312715753546168,-0.8908408238765982,-0.45431555830156606
10,6,6,6,7.0730493954589395,-70.70539389134801,4.908645251966557,0,0,0,0,6,0,0,0,none,0.8641832677513435,-0.9808034720686317,0.19499884404302714
10,7,7,7,8.320902404670623,-66.84867839290244,5.764158417473529,0,0,0,0,7,0,0,0,none,1.247853009211683,-0.49603541894126596,0.8683022878904344
11,0,0,0,1.166079035736906,-39.34754928203988,0.10649842651072722,0,0,0,0,0,2,1,0,mandatory_skip,0.0,0.10629722463117924,0.9943344005090584
11,1,1,6,2.211347069087839,-43.919519039476164,1.2334775108046236,0,1,0,1,1,2,1,0,mandatory_skip,1.045268033350933,0.9436454161052695,0.330958197758437
11,1,1,6,2.2445153551492876,-43.919519039476164,1.2334775108046236,1,1,0,1,2,2,1,0,mandatory_skip,0.033168286061448615,0.9436454161052695,0.330958197758437
11,2,3,3,2.8467066581177454,-52.899869864231654,2.998501650314404,0,0,0,0,3,2,1,0,mandatory_skip,0.6021913029684578,0.14260320404002297,-0.9897799382678554
11,3,4,4,4.241244446829699,-59.656486970126025,3.0472454636503357,0,0,0,0,4,2,1,0,mandatory_skip,1.3945377887119532,0.09420728199853524,-0.9955526043451689
11,6,7,7,7.428108613623332,-70.06373138260173,5.670854746578159,0,0,0,0,5,2,1,0,mandatory_skip,3.186864166793633,-0.5747761419809194,0.8183106907584246
12,0,0,0,0.8114702835478341,-42.02979359403139,0.4001793543046519,0,0,0,0,0,1,0,1,none,0.0,0.3895835322984881,0.9209911353329264
12,1,1,1,1.927250721906487,-46.48147435870947,0.5610677096209606,0,0,0,0,1,1,0,1,none,1.115780438358653,0.5320905174053192,0.846687475570142
12,2,2,2,3.2487889574056013,-50.100259109657856,2.389171450430791,0,0,0,0,2,1,0,1,none,1.3215382354991143,0.6834083277343467,-0.7300363399059966
12,4,4,4,6.07093618351176,-62.52803669463508,3.1381052133545366,0,0,1,1,3,1,0,1,none,2.822147226106159,0.003487433166080408,-0.999993918886466
12,4,4,4,6.218027632230779,-62.52803669463508,3.1381052133545366,1,0,1,1,4,1,0,1,none,0.1470914487190189,0.003487433166080408,-0.999993918886466
12,5,5,5,6.721735343393881,-54.792344951597194,4.041715498401162,0,0,0,0,5,1,0,1,none,0.5037077111631021,-0.783403265276055,-0.6215137359341425
12,6,6,6,7.636260916818624,-71.03337716923252,5.335718202764905,0,0,0,0,6,1,0,1,none,0.9145255734247426,-0.8119395545787901,0.5837415178916058
12,7,7,7,8.486863422605586,-70.35423561247107,5.715277469433268,0,0,0,0,7,1,0,1,none,0.850602505786962,-0.537869475554512,0.8430281295821119
13,0,0,0,0.6677484435002236,-44.14100305084872,0.1563272805160177,0,0,0,0,0,2,1,0,reverse,0.0,0.15569133137685687,0.987805754859781
13,1,1,1,1.491256681245967,-47.144725692249736,0.7731230396990153,0,0,0,0,1,2,1,0,reverse,0.8235082377457436,0.698373903672345,0.7157331141350456
13,2,2,2,2.3835643822027097,-51.52490893115699,2.1035912890882913,0,0,0,0,2,2,1,0,reverse,0.8923077009567426,0.8613907556855736,-0.507942876728709
13,3,3,3,3.464775696242601,-55.69023685427934,2.471361335281977,0,0,0,0,3,2,1,0,reverse,1.0812113140398911,0.6211672827224153,-0.7836779994840043
13,4,4,4,4.48257287486534,-58.566290533553044,3.444521224069184,0,0,0,0,4,2,1,0,reverse,1.0177971786227396,-0.29831670563476603,-0.95446694187867
13,5,3,3,5.479129415197797,-59.780106244864356,2.5416460693037632,0,0,0,0,5,2,1,0,reverse,0.996556540332457,0.5645983866983912,-0.8253657745130785
13,6,5,5,6.471324941662573,-58.49757438855112,4.223833834003624,0,0,0,0,6,2,1,0,reverse,0.9921955264647755,-0.8830119229114688,-0.46935055555116817
13,7,6,6,7.203958683343936,-67.7654471422536,5.086575162053215,0,0,0,0,7,2,1,0,reverse,0.7326337416813633,-0.9308053930401864,0.36551514371815574
13,8,7,7,8.288217534192936,-70.9747444773926,5.884744948619885,0,0,0,0,8,2,1,0,reverse,1.0842588508490003,-0.3879813443694018,0.9216672265092817
14,2,2,2,2.1417707613094485,-47.03558897203868,1.4597460269421625,0,0,0,0,0,1,0,1,none,0.0,0.9938402496134568,0.11082219203869628
14,3,3,3,2.863951342839965,-53.350181352106276,2.902134058645063,0,0,0,0,1,1,0,1,none,0.7221805815305165,0.2371767043252369,-0.9714665258903259
14,4,4,4,3.7372056728213945,-53.74002941164718,2.8309959153667354,0,0,0,0,2,1,0,1,none,0.8732543299814295,0.30562687593681165,-0.9521513601865539
14,5,5,5,4.858238165966883,-64.22564782369605,4.537275841634793,0,0,0,0,3,1,0,1,none,1.1210324931454885,-0.984706834225506,-0.17421954720863522
14,6,6,6,5.6135260382645,-66.0604123508483,5.268166004104204,0,0,0,0,4,1,0,1,none,0.7552878722976173,-0.8494907362975137,0.5276035338629832
14,7,7,7,6.29593396792702,-75.90226675320913,5.524835406145861,0,0,0,0,5,1,0,1,none,0.6824079296625198,-0.6877244565946775,0.7259718119882862
14,7,7,7,6.399382557167566,-75.90226675320913,5.524835406145861,1,0,0,1,6,1,0,1,none,0.10344858924054634,-0.6877244565946775,0.7259718119882862
15,0,0,0,1.111906299199627,-38.30413150210764,0.1422758448991301,0,0,0,0,0,1,0,1,none,0.0,0.1417963293433322,0.9898958536051948
15,1,1,1,1.9810832677455852,-44.44797790204194,0.9928811438964444,0,0,0,0,1,1,0,1,none,0.8691769685459583,0.8376033609369602,0.546278875435531
15,2,2,2,2.732426539827514,-55.29738108977803,1.9745254304328206,0,0,0,0,2,1,0,1,none,0.7513432720819289,0.9196024117834326,-0.3928503585872031
15,3,3,3,3.642424472793868,-61.12401916926222,3.223138712634327,0,0,0,0,3,1,0,1,none,0.9099979329663541,-0.0814557121388846,-0.9966769621898297
15,4,4,4,4.734951518832265,-59.50145420733853,4.023767988880305,0,0,0,0,4,1,0,1,none,1.0925270460383967,-0.7721230715755144,-0.6354730225122016
15,4,4,4,4.746002503424265,-59.50145420733853,4.023767988880305,1,0,0,1,5,1,0,1,none,0.011050984591999935,-0.7721230715755144,-0.6354730225122016
15,5,5,0,7.2814087988523255,-61.51789107909829,4.5822050061828845,0,1,1,1,6,1,0,1,none,2.5354062954280607,-0.9915380275965542,-0.12981656223277113
16,0,0,0,0.8485351035851925,-37.06108405905663,6.010359917161097,0,0,0,0,0,1,0,1,none,0.0,-0.2694533971016405,0.9630134302232682
16,1,1,1,1.807069970047373,-47.21149175242459,0.5797680678979752,0,0,0,0,1,1,0,1,none,0.9585348664621804,0.5478299195131641,0.836589731759959
16,5,5,5,5.385612209294622,-64.5768563767518,4.179116420952409,0,0,0,0,2,1,0,1,none,3.578542239247249,-0.8611480653889583,-0.5083542165428102
16,4,4,4,5.56552582757873,-64.077487263307,3.6365786343079183,0,0,1,1,3,1,0,1,none,0.17991361828410835,-0.47501931469488545,-0.8799753693523481
16,4,4,4,5.66684189248395,-64.077487263307,3.6365786343079183,1,0,1,1,4,1,0,1,none,0.1013160649052196,-0.47501931469488545,-0.8799753693523481
16,6,6,6,6.941695480985138,-60.311191092073884,4.976203685034754,0,0,0,0,5,1,0,1,none,1.2748535885011885,-0.9654022627050386,0.2607651647823991
16,7,7,7,8.357572016600283,-70.8509194254882,0.20346062820936783,0,0,0,0,6,1,0,1,none,1.415876535615145,0.20205978044614462,0.9793731899159053
17,0,0,0,1.1416383906753418,-46.384760535489264,0.1943680929634946,0,0,0,0,0,2,1,0,reverse,0.0,0.193146565392026,0.9811699161089601
17,1,1,0,2.476002309334663,-43.96494212910381,0.9686887861248998,0,1,0,1,1,2,1,0,reverse,1.3343639186593212,0.8241437758565955,0.5663806464885904
17,2,2,2,3.555332520348619,-50.219502243052034,1.9875876870339995,0,0,0,0,2,2,1,0,reverse,1.0793302110139558,0.9143925941801107,-0.4048285855872427
17,3,3,3,4.586788807122726,-52.98049848004601,3.0730619702518966,0,0,0,0,3,2,1,0,reverse,1.0314562867741075,0.06847705405945634,-0.9976526916053193
17,4,4,4,5.090252239664736,-63.2062439401108,3.059834104754691,0,0,0,0,4,2,1,0,reverse,0.5034634325420093,0.08166749397731021,-0.9966596311818122
17,5,5,5,5.993541014883418,-65.36871075264874,3.9297647051552973,0,0,0,0,5,2,1,0,reverse,0.903288775218682,-0.7090654934059605,-0.7051426281689129
17,6,4,4,6.752472140686006,-61.22639249167802,3.5559788683297255,0,0,0,0,6,2,1,0,reverse,0.7589311258025884,-0.4026281695647854,-0.9153636201384182
17,7,6,6,8.408609080004199,-73.75049457684939,4.720034435687512,0,0,0,0,7,2,1,0,reverse,1.656136939318193,-0.9999707736489707,0.007645380819756773
17,8,7,7,9.133468809638636,-71.95173334893737,5.578488125932495,0,0,0,0,8,2,1,0,reverse,0.7248597296344368,-0.6478031695667361,0.7618077536355813
18,0,0,0,0.8573794148463516,-43.315459741488056,0.8511289502205429,0,0,0,0,0,1,0,1,none,0.0,0.7520250143359907,0.6591345673024235
18,2,2,2,2.8893683614141272,-50.248685723048,1.8246842768822216,0,0,0,0,1,1,0,1,none,2.0319889465677754,0.9679432067826357,-0.2511691630024428
18,3,3,3,4.433599951037798,-45.895333755356596,3.106777463016855,0,0,0,0,2,1,0,1,none,1.5442315896236707,0.03480815776496259,-0.9993940124660591
18,6,6,6,8.008158444779118,-67.4551781978765,4.954458001911367,0,0,0,0,3,1,0,1,none,3.5745584937413204,-0.9708440842765187,0.23971183538842628
18,7,7,7,9.537293028774481,-72.49456874870985,5.874336179505846,0,0,0,0,4,1,0,1,none,1.5291345839953632,-0.3975535752621915,0.9175789637934433
19,0,0,0,0.884321057707311,-36.44250503540067,6.058645936815039,0,0,0,0,0,1,0,1,none,0.0,-0.22265731942412792,0.9748967730518251
19,2,2,2,3.4641341095754097,-50.26422408617553,1.1086414501723802,0,0,1,1,1,1,0,1,none,2.579813051868099,0.895093764462523,0.44587795731602325
19,2,2,2,3.606758880977554,-50.26422408617553,1.1086414501723802,1,0,1,1,2,1,0,1,none,0.14262477140214447,0.895093764462523,0.44587795731602325
19,4,4,4,5.040164903412607,-57.254977739658386,3.369996873813937,0,0,0,0,3,1,0,1,none,1.4334060224350527,-0.22642347677923919,-0.9740289570455292
19,3,3,3,5.521410771087917,-54.88168710149757,3.400082415260747,0,0,1,1,4,1,0,1,none,0.48124586767530975,-0.2556207800840195,-0.96677712880955
19,6,6,6,9.059701475472714,-64.31463498135498,4.984993277787968,0,0,1,1,5,1,0,1,none,3.5382907043847975,-0.9630729808420414,0.2692404753599001
19,6,6,6,9.078076882697136,-64.31463498135498,4.984993277787968,1,0,1,1,6,1,0,1,none,0.01837540722442199,-0.9630729808420414,0.2692404753599001
20,0,0,0,0.8676303851937154,-42.82196754220499,6.197490549844909,0,0,0,0,0,0,0,0,none,0.0,-0.08558991129174795,0.996330450746674
20,0,0,0,0.986812163335839,-42.82196754220499,6.197490549844909,1,0,0,1,1,0,0,0,none,0.1191817781421236,-0.08558991129174795,0.996330450746674
20,1,1,1,2.3716752023846777,-47.049182903838904,1.1629884116081732,0,0,1,1,2,0,0,0,none,1.3848630390488386,0.9179924040810833,0.3965979652613374
20,2,2,2,3.0402269277391563,-51.407364703196784,1.9551827660841823,0,0,0,0,3,0,0,0,none,0.6685517253544786,0.9270286865398296,-0.3749904189872568
20,2,2,2,3.0717311842944426,-51.407364703196784,1.9551827660841823,1,0,0,1,4,0,0,0,none,0.031504256555286325,0.9270286865398296,-0.3749904189872568
20,4,4,4,5.077853137540557,-58.92093538957966,3.505250061561187,0,0,0,0,5,0,0,0,none,2.0061219532461143,-0.35569482602819197,-0.9346021563942458
20,5,5,5,6.197887566008421,-59.45951307218012,3.8944001629122744,0,0,0,0,6,0,0,0,none,1.1200344284678643,-0.6836902942716521,-0.7297722805908305
20,6,6,6,7.3053481773551905,-64.66948473309927,5.153271644869747,0,0,0,0,7,0,0,0,none,1.1074606113467693,-0.9043753491857375,0.4267378911992413
20,7,7,7,8.390309996578445,-67.02342292016218,5.8807192720079104,0,0,0,0,8,0,0,0,none,1.0849618192232544,-0.391688524722944,0.9200978750113292
21,0,0,0,0.9269460844410939,-43.74285169592941,0.27232621027451404,0,0,0,0,0,2,1,0,unauthorized_jump,0.0,0.2689726467528064,0.9631478159134194
21,1,1,1,1.5595380242463581,-40.299792941575035,1.045372044531549,0,0,0,0,1,2,1,0,unauthorized_jump,0.6325919398052642,0.8651112079554458,0.5015801011502244
21,2,2,2,2.443627895437731,-55.66144545224216,1.8043902457557357,0,0,0,0,2,2,1,0,unauthorized_jump,0.8840898711913727,0.9728407759704588,-0.2314753218146496
21,3,3,3,3.812292307178998,-59.089609862671594,2.317818211026316,0,0,0,0,3,2,1,0,unauthorized_jump,1.3686644117412672,0.7337156202774116,-0.6794566863023229
21,4,6,6,4.4897610113552,-66.75248138276287,4.92345968208747,0,0,0,0,4,2,1,0,unauthorized_jump,0.677468704176202,-0.977807155788756,0.20950695952235937
21,5,7,7,5.57436107164873,-68.54927435475194,5.972711561280108,0,0,0,0,5,2,1,0,unauthorized_jump,1.0846000602935302,-0.3055097663172924,0.952188942744429
22,0,0,0,0.6808312201580367,-46.66529875939311,6.244665817520108,0,0,0,0,0,0,0,0,none,0.0,-0.0385099648103774,0.9992582161835366
22,1,1,1,1.522337279533127,-51.14472640032273,0.7576685684691219,0,0,0,0,1,0,0,0,none,0.8415060593750903,0.6872296687707786,0.7264402125166295
22,3,3,3,3.3576926750516645,-53.553528978024936,2.454431961619154,0,0,0,0,2,0,0,0,none,1.8353553955185375,0.634344814386564,-0.7730502289378586
22,2,2,2,3.58680034984731,-48.22784571546787,1.9488430511718433,0,0,1,1,3,0,0,0,none,0.22910767479564553,0.929387373466934,-0.3691058249882188
22,4,4,4,4.076031342814461,-62.03481377661327,3.6158352266104887,0,0,0,0,4,0,0,0,none,0.4892309929671508,-0.45666474175697563,-0.8896388669769519
22,5,5,5,5.525273955784664,-59.68865567062311,4.119034135930535,0,0,0,0,5,0,0,0,none,1.4492426129702034,-0.8290695018026594,-0.5591455634990679
22,6,6,6,6.675135390426336,-73.739123687204,4.830453373620966,0,0,0,0,6,0,0,0,none,1.1498614346416716,-0.9930384916526012,0.11779029712300923
22,7,7,7,8.424589793731577,-73.68917970674615,5.894309040290692,0,0,0,0,7,0,0,0,none,1.7494544033052417,-0.37914882436018477,0.9253357061014612
23,0,0,0,0.7253412951198787,-44.0790408214343,6.232840648473235,0,0,0,0,0,0,0,0,none,0.0,-0.05032339426807621,0.9987329753188986
23,1,1,1,1.4473105935511348,-44.99230867920243,1.1518444759554116,0,0,0,0,1,0,0,0,none,0.7219692984312561,0.9135158324433006,0.40680317584235187
23,2,2,2,2.0885274791491626,-47.71457530891357,2.031450873488111,0,0,0,0,2,0,0,0,none,0.6412168855980278,0.895761720832407,-0.44453452002219673
23,3,3,3,3.188871010141094,-54.38192404654702,2.4516716699300884,0,0,0,0,3,0,0,0,none,1.1003435309919314,0.636476239197323,-0.7712963094279864
